player_id,player,passes,position,position_specific,team,team_abbr,active
160158,Rodri,3633,M,Centre Central Midfielder,Manchester City,MCI,TRUE
302712,Bruno Guimarães,2264,M,Centre Defensive Midfielder,Newcastle United,NEW,TRUE
342058,Declan Rice,2227,M,Centre Central Midfielder,Arsenal,ARS,TRUE
345054,Moisés Caicedo,2097,M,Centre Defensive Midfielder,Chelsea,CHE,TRUE
340453,Alexis Mac Allister,1927,M,Left/Centre/Right Attacking Midfielder,Liverpool,LIV,TRUE
180060,Bruno Fernandes,1911,M,Left/Centre/Right Attacking Midfielder,Manchester United,MUN,TRUE
288147,Martin Ødegaard,1900,M,Left/Centre/Right Attacking Midfielder,Arsenal,ARS,TRUE
312817,Yves Bissouma,1834,M,Centre Central Midfielder,Tottenham Hotspur,TOT,TRUE
44030,Bernardo Silva,1824,M,Left/Centre Attacking Midfielder,Manchester City,MCI,TRUE
337917,Enzo Fernández,1795,M,Midfielder,Chelsea,CHE,TRUE
260162,Phil Foden,1670,M,Centre Central Midfielder,Manchester City,MCI,TRUE
340665,Mateo Kovacic,1523,M,Central Midfielder,Manchester City,MCI,TRUE
160057,Christian Nørgaard,1441,M,Centre Central Midfielder,Brentford,BRE,TRUE
336342,Mario Lemina,1439,M,Centre Central Midfielder,Wolverhampton Wanderers,WOL,TRUE
325037,Lucas Paquetá,1411,M,Centre Attacking Midfielder,West Ham United,WHU,TRUE
323846,Casemiro,1406,M,Centre Central Midfielder,Manchester United,MUN,TRUE
364659,Ross Barkley,1405,M,Midfielder,Luton Town,LUT,TRUE
340932,Dominik Szoboszlai,1399,M,Left/Centre/Right Attacking Midfielder,Liverpool,LIV,TRUE
340680,James Maddison,1346,M,Left/Centre/Right Attacking Midfielder,Tottenham Hotspur,TOT,TRUE
294324,Lewis Cook,1343,M,Midfielder,Bournemouth,BOU,TRUE
317848,Josh Cullen,1341,M,Centre Central Midfielder,Burnley,BUR,FALSE
314125,Pape Sarr,1313,M,Centre Central Midfielder,Tottenham Hotspur,TOT,TRUE
346777,Cole Palmer,1307,M,Attacking Midfielder,Chelsea,CHE,TRUE
258703,Vitaly Janelt,1306,M,Centre Defensive Midfielder,Brentford,BRE,TRUE
345140,Wataru Endo,1305,M,Centre Defensive Midfielder,Liverpool,LIV,TRUE
323587,Morgan Gibbs-White,1282,M,Centre Central Midfielder,Nottingham Forest,NFO,TRUE
19302,Tom Cairney,1241,M,Left/Centre/Right Attacking Midfielder,Fulham,FUL,TRUE
337528,João Gomes,1237,M,Centre Central Midfielder,Wolverhampton Wanderers,WOL,TRUE
340460,Jefferson Lerma,1225,M,Centre Central Midfielder,Crystal Palace,CRY,TRUE
288967,Ryan Christie,1220,M,Left/Centre/Right Attacking Midfielder,Bournemouth,BOU,TRUE
135591,Sean Longstaff,1209,M,Centre Central Midfielder,Newcastle United,NEW,TRUE
